n,Strategy,AvgCost,Distribution
100,NoReorder,30.34,Uniform
100,MoveToFront,27.57,Uniform
100,Transpose,28.43,Uniform
100,Count,28.14,Uniform
100,NoReorder,15.56,Harmonic
100,MoveToFront,12.42,Harmonic
100,Transpose,13.13,Harmonic
100,Count,13.48,Harmonic
100,NoReorder,2.75,Biharmonic
100,MoveToFront,2.49,Biharmonic
100,Transpose,1.93,Biharmonic
100,Count,2.14,Biharmonic
100,NoReorder,2.32,Geometric
100,MoveToFront,2.24,Geometric
100,Transpose,2,Geometric
100,Count,1.87,Geometric
500,NoReorder,44.692,Uniform
500,MoveToFront,45.45,Uniform
500,Transpose,43.544,Uniform
500,Count,45.7,Uniform
500,NoReorder,20.318,Harmonic
500,MoveToFront,21.158,Harmonic
500,Transpose,20.654,Harmonic
500,Count,17.794,Harmonic
500,NoReorder,3.158,Biharmonic
500,MoveToFront,3.814,Biharmonic
500,Transpose,3.206,Biharmonic
500,Count,2.876,Biharmonic
500,NoReorder,2.01,Geometric
500,MoveToFront,2.422,Geometric
500,Transpose,2.29,Geometric
500,Count,1.9,Geometric
1000,NoReorder,47.986,Uniform
1000,MoveToFront,48.13,Uniform
1000,Transpose,50.133,Uniform
1000,Count,46.551,Uniform
1000,NoReorder,23.317,Harmonic
1000,MoveToFront,19.712,Harmonic
1000,Transpose,22.421,Harmonic
1000,Count,21.293,Harmonic
1000,NoReorder,3.376,Biharmonic
1000,MoveToFront,3.629,Biharmonic
1000,Transpose,3.276,Biharmonic
1000,Count,2.602,Biharmonic
1000,NoReorder,2.256,Geometric
1000,MoveToFront,2.477,Geometric
1000,Transpose,2.244,Geometric
1000,Count,1.964,Geometric
5000,NoReorder,50.5488,Uniform
5000,MoveToFront,50.017,Uniform
5000,Transpose,49.6544,Uniform
5000,Count,49.922,Uniform
5000,NoReorder,24.982,Harmonic
5000,MoveToFront,26.125,Harmonic
5000,Transpose,21.1916,Harmonic
5000,Count,20.0276,Harmonic
5000,NoReorder,3.5934,Biharmonic
5000,MoveToFront,4.0282,Biharmonic
5000,Transpose,3.2386,Biharmonic
5000,Count,3.192,Biharmonic
5000,NoReorder,2.825,Geometric
5000,MoveToFront,2.517,Geometric
5000,Transpose,2.2066,Geometric
5000,Count,2.0184,Geometric
10000,NoReorder,50.3628,Uniform
10000,MoveToFront,50.4491,Uniform
10000,Transpose,49.7119,Uniform
10000,Count,50.1672,Uniform
10000,NoReorder,27.0698,Harmonic
10000,MoveToFront,25.057,Harmonic
10000,Transpose,21.3589,Harmonic
10000,Count,19.4681,Harmonic
10000,NoReorder,4.653,Biharmonic
10000,MoveToFront,4.1457,Biharmonic
10000,Transpose,3.3917,Biharmonic
10000,Count,3.1455,Biharmonic
10000,NoReorder,2.1919,Geometric
10000,MoveToFront,2.531,Geometric
10000,Transpose,2.2192,Geometric
10000,Count,1.9971,Geometric
50000,NoReorder,50.4701,Uniform
50000,MoveToFront,50.6397,Uniform
50000,Transpose,50.4851,Uniform
50000,Count,50.3134,Uniform
50000,NoReorder,25.9899,Harmonic
50000,MoveToFront,26.2539,Harmonic
50000,Transpose,20.0151,Harmonic
50000,Count,19.4211,Harmonic
50000,NoReorder,4.12484,Biharmonic
50000,MoveToFront,4.37512,Biharmonic
50000,Transpose,3.49582,Biharmonic
50000,Count,3.18428,Biharmonic
50000,NoReorder,5.82822,Geometric
50000,MoveToFront,2.52884,Geometric
50000,Transpose,2.2304,Geometric
50000,Count,1.99756,Geometric
100000,NoReorder,50.468,Uniform
100000,MoveToFront,50.5089,Uniform
100000,Transpose,50.6581,Uniform
100000,Count,50.399,Uniform
100000,NoReorder,25.5324,Harmonic
100000,MoveToFront,26.115,Harmonic
100000,Transpose,19.8802,Harmonic
100000,Count,19.3837,Harmonic
100000,NoReorder,4.53749,Biharmonic
100000,MoveToFront,4.34838,Biharmonic
100000,Transpose,3.43303,Biharmonic
100000,Count,3.1775,Biharmonic
100000,NoReorder,2.54082,Geometric
100000,MoveToFront,2.53271,Geometric
100000,Transpose,2.22929,Geometric
100000,Count,1.98563,Geometric
